,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
Q1,0,0.39,0.82,0.57,0.73,0.73,0.56,0.69,0.74,0.86,0.73,0.86
Q2,0.39,0,0.81,0.84,0.52,0.71,0.48,0.68,0.88,0.85,0.65,0.86
Q3,0.82,0.81,0,0.71,0.76,0.93,0.74,0.78,0.79,0.8,1,0.82
Q4,0.57,0.84,0.71,0,0.89,0.75,0.73,0.82,0.69,0.67,0.89,0.87
Q5,0.73,0.52,0.76,0.89,0,0.83,0.56,0.64,0.84,0.86,0.73,0.81
Q6,0.73,0.71,0.93,0.75,0.83,0,0.87,0.74,0.81,0.83,0.8,0.75
Q7,0.56,0.48,0.74,0.73,0.56,0.87,0,0.72,0.83,0.9,0.56,0.91
Q8,0.69,0.68,0.78,0.82,0.64,0.74,0.72,0,0.61,0.95,0.74,0.95
Q9,0.74,0.88,0.79,0.69,0.84,0.81,0.83,0.61,0,1,0.81,0.86
Q10,0.86,0.85,0.8,0.67,0.86,0.83,0.9,0.95,1,0,1,0.78
Q11,0.73,0.65,1,0.89,0.73,0.8,0.56,0.74,0.81,1,0,1
Q12,0.86,0.86,0.82,0.87,0.81,0.75,0.91,0.95,0.86,0.78,1,0
